scale_factor,variables,constraints,milp_runtime_seconds,lp_runtime_seconds,milp_objective,lp_objective,lp_gap_percent,reported_mip_gap_percent
1,1152,396,0.7840088739994826,0.025113421000241942,170689.5,169296.92505175987,0.8158527315623573,0.00644445030303563
5,5760,1836,3.7796835379995173,0.08016887599933398,847835.499999999,846484.6252587992,0.15933217483813514,0.04375848852742693
10,11520,3636,5.904584754000098,0.2226738720000867,1695118.9999999998,1692969.2505175984,0.1268199744325569,0.06082168862479668
