scenario,serviced_wagons,cumulative_backlog_wagon_months,final_backlog_wagons,direct_cost,logistics_cost,unavailability_cost,retention_cost,service_composite_cost,queue_cost,total_system_cost,remote_wagons,minimum_binding_periods,maximum_binding_periods,minimum_violations,runtime_seconds,solver_status,solver_gap,variables,constraints
local_first_heuristic,965.0,274.0,39.0,85271.0,15090.0,5919.0,6261.5,112541.5,116130.0,228671.5,306.0,0,1,0,0.006342493999909493,heuristic,,0,0
full_milp,995.0,125.00000000000001,9.0,89834.0,19102.0,7092.0,6851.5,122879.5,47810.0,170689.5,401.0,1,13,0,0.9174939770000492,Optimization terminated successfully. (HiGHS Status 7: Optimal),6.44445030303563e-05,1152,396
direct_cost_only,995.0,125.0,9.0,89130.0,25613.0,8787.0,7106.5,130636.5,47810.0,178446.5,612.0,2,18,0,0.9761066050004956,Optimization terminated successfully. (HiGHS Status 7: Optimal),8.762961881115817e-05,1152,396
without_eligibility,1004.0,68.0,0.0,86689.0,5753.0,3432.0,5970.5,101844.5,21900.0,123744.5,61.0,0,11,0,15.117639190000773,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.011657083749176731,1440,396
without_minimum_capacity,995.0000000000389,125.00000000000526,9.0,89846.00000000428,19024.000000002132,7074.000000000697,6836.5000000004675,122780.50000000758,47809.99999999989,170590.50000000748,398.0000000000389,0,13,1,0.6789518360001239,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1152,396
lp_relaxation,995.3180124223603,123.825983436853,8.681987577639752,89831.80165631471,19088.590683229813,7086.824223602484,6866.432091097308,122873.64865424432,46423.276397515525,169296.92505175984,400.8846790890269,1,21,0,0.039506026000708516,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1152,396
